// Cookies

Abalone Cookie,鮑魚餅乾
Banner of the Forsaken Oath,
Knight's Somber Lantern,
Spirit-cutting Sword,
Silver Fork Judgment,
Catacombs of Silence,沉默的地下墓穴
Seal Tree of the Fallen Emissaries,
Soul Jam: Light of Silence,靈魂果醬: 沉默之光

Macaron Hammer,馬卡龍槌子
Mischievous Ladybug,調皮瓢蟲
Golden Cheese Warehouse,黃金起司礦山儲存庫
Ritual of Life,神秘的甦醒
The Heir's Betrayal,繼承者的背叛
Hall of Ancient Heroes,燦爛輝煌的英雄神殿
Sugar Gnome Cake Shop,糖糖地精的蛋糕店
Magic Lettering Pens,繽紛的魔法擠花筆
Call of Destiny,命運的集結
0th & Broadway: Avenue of Deceit,

Icky Sticky Jelly,黏膩果凍
Exceptional Cake Knife,秘藏蛋糕刀
Sugar Coated Snail Shell,蝸牛棒棒糖
Fiery Jelly Clump,炎熱果凍塊
Overhydrated Dough Swamp,泥濘的麵團沼澤
Ouch-Inducing Star Jelly,尖尖的星星糖
Burning Jelly Volcano,炙熱果凍火山
Flimsy Screwdriver,壞掉的黑糖螺絲起子
Reverse Timer,倒數計時器
Time Travel Ticket,時光旅行門票
Multi-Vitamin Honey Bomb,營養豐富的蜂蜜炸彈
Winding Key Shield,鋼製齒輪護盾
Pretzel Snare,椒鹽捲餅陷阱
Time Management Department,時間效率管理部
Ancient Healer's Gaze,古代治療師
Viney Vines,蛋白霜荊棘
Parsley Tea of Invigoration,活力香芹茶
Supreme Whipped Cream,瘋狂攪拌過的鮮奶油
Divine Light Crystal,聖光屏障
Breath of the Flute,草笛之律
Guardian Tree's Blessing,守護樹的恩典
Bear Jelly Ice Cream,熊熊果凍冰淇淋
Emergency Lifebuoy,救生甜甜圈
Lucky Pearls,幸運珍珠
Sugar Crystal Lamp,南瓜糖提燈
Octo-Ink Spray,墨魚汁噴灌
Fallen Ice Statue,毀壞的冰雕
Sugar Glass Dome,糖糖玻璃穹頂
BONUS Coin,BONUS硬幣
Violet Dragonspout,紫色龍捲風
Dragonfly Candy Brooch,蜻蜓糖果胸針
Pastry Boomerang,可頌迴旋鏢
Forbidden Grimoire,魔法禁書
Hidden Warpgate,隱藏的瞬間移動裝置
Windswept Valley,風之溪谷
Hot Jellyco Missile,
Essence of Conflagration,火焰精華
Fire Spirit Cookie's Staff,
Dragon's Breath,
Restored Power of Fire,
Frozen Flame,
Power Unleashed,
Into the Depths,
Miraculous Nutrient Ampoule,奇蹟綠樹營養液
Essence of Rejuvenation,生命精華
Budding Future,綠色未來種子
Tightly Tied Vine,
Vined Cavern,
Millennial Tree Cookie's Gift,
Millennial Jade Deer's Wrath,
Forest of Life,
Windgrass,
Cape of the Vanquisher,追風者驅逐黑暗的斗篷
Essence of the Tempest,
Wind's Grace Earrings,
Hindering Darkness,
Piercing Arrow of Purity,
Bad Omen,
Dark Enchantress Laboratory,
Shimmering Moonlit Coral,
Glittering Pearl Shell,璀璨的珍珠貝殼
Essence of the Ocean,海洋精華
Bubble Wave Shell,浪珠海螺殼
Revelation of the Seas,
Tower of Frozen Waves,
Curse of the Seas,
Tearcrown,
Little Star,
Lunar Compendium,
Essence of Moonlight,月光精華
Delicate Glass Flower,
Inside the Clock Tower,
Reunion of Star and Moon,
Sleeping Moon,
Wizard Archives,
